Protein	Name	Phylum	Type
14_0903_13_20cm_scaffold_1267_10	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_11	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_12	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_13	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_14	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_15	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_16	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_17	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_18	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_19	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_20	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_21	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_22	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_23	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_24	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_25	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_26	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1267_27	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_1753_1	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_2	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_3	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_4	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_5	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_6	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_7	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_8	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_9	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_10	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_11	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_12	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_13	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_14	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_15	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_16	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_17	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_18	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_19	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_20	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_21	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_22	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1753_23	Myxococcales_Type III PKS_0	Myxococcales	Type III PKS
14_0903_13_20cm_scaffold_1865_1	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_2	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_3	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_4	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_5	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_6	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_7	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_8	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_9	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_10	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_11	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_12	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_13	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_14	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_15	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_16	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_17	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_18	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_19	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_20	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_21	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_22	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_23	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_24	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_25	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_26	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_27	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_28	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_29	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_30	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_31	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_32	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_33	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_34	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_35	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_36	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_37	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_38	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_39	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_40	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1865_41	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1937_1	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1937_2	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1937_3	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1937_4	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1937_5	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1937_6	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_1937_7	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3049_1	Myxococcales_Lassopeptide_0	Myxococcales	Lassopeptide
14_0903_13_20cm_scaffold_3049_2	Myxococcales_Lassopeptide_0	Myxococcales	Lassopeptide
14_0903_13_20cm_scaffold_3049_3	Myxococcales_Lassopeptide_0	Myxococcales	Lassopeptide
14_0903_13_20cm_scaffold_3049_4	Myxococcales_Lassopeptide_0	Myxococcales	Lassopeptide
14_0903_13_20cm_scaffold_3049_5	Myxococcales_Lassopeptide_0	Myxococcales	Lassopeptide
14_0903_13_20cm_scaffold_3049_6	Myxococcales_Lassopeptide_0	Myxococcales	Lassopeptide
14_0903_13_20cm_scaffold_3049_7	Myxococcales_Lassopeptide_0	Myxococcales	Lassopeptide
14_0903_13_20cm_scaffold_3049_8	Myxococcales_Lassopeptide_0	Myxococcales	Lassopeptide
14_0903_13_20cm_scaffold_3049_9	Myxococcales_Lassopeptide_0	Myxococcales	Lassopeptide
14_0903_13_20cm_scaffold_3049_10	Myxococcales_Lassopeptide_0	Myxococcales	Lassopeptide
14_0903_13_20cm_scaffold_3364_5	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_6	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_7	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_8	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_9	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_10	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_11	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_12	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_13	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_14	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_15	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_16	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_17	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_18	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_19	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_20	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_21	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3364_22	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_3670_1	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3670_2	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3670_3	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3670_4	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3670_5	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3670_6	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3761_1	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3761_2	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3761_3	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3761_4	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3761_5	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3761_6	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3761_7	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3761_8	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_3761_9	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_6288_8	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_6288_9	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_6288_10	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_6288_11	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_6288_12	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_6288_13	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_6288_14	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_6288_15	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_6288_16	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_6288_17	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_6288_18	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_6288_19	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_6288_20	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_348_37	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_38	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_39	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_40	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_41	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_42	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_43	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_44	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_45	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_46	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_47	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_48	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_49	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_50	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_51	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_52	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_53	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_54	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_55	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_56	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_57	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_58	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_59	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_60	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_61	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_348_62	Myxococcales_NRPS-PKS Hybrid_0	Myxococcales	NRPS-PKS Hybrid
14_0903_13_20cm_scaffold_32505_1	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_32505_2	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_32505_3	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_32505_4	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_32505_5	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_32505_6	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_32505_7	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_32505_8	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_2035_1	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_2035_2	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_2035_3	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_2035_4	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_2035_5	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_2035_6	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_2035_7	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_2035_8	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_2035_9	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_2035_10	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_2035_11	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_2035_12	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_2035_13	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_2035_14	Myxococcales_Lantipeptide_0	Myxococcales	Lantipeptide
14_0903_13_20cm_scaffold_2297_3	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_4	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_5	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_6	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_7	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_8	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_9	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_10	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_11	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_12	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_13	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_14	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_15	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_16	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_17	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_18	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_19	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_20	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2297_21	Myxococcales_Bacteriocin_0	Myxococcales	Bacteriocin
14_0903_13_20cm_scaffold_2412_1	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_2412_2	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_2412_3	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_2412_4	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_2412_5	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_2412_6	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_2412_7	Myxococcales_Type I PKS_0	Myxococcales	Type I PKS
14_0903_13_20cm_scaffold_2739_1	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_2	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_3	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_4	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_5	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_6	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_7	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_8	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_9	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_10	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_11	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_12	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_13	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_14	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_15	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_16	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_17	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_18	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_19	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_20	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_21	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_22	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_23	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_24	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_25	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_26	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_27	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_2739_28	Myxococcales_Type II PKS_0	Myxococcales	Type II PKS
14_0903_13_20cm_scaffold_11881_1	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_11881_2	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_11881_3	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_11881_4	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_11881_5	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_20cm_scaffold_11881_6	Myxococcales_NRPS_0	Myxococcales	NRPS
14_0903_13_30cm_scaffold_360319_1	Acidobacteria_NRPS_0	Acidobacteria	NRPS
14_0903_13_30cm_scaffold_360319_2	Acidobacteria_NRPS_0	Acidobacteria	NRPS
14_0903_13_30cm_scaffold_360319_3	Acidobacteria_NRPS_0	Acidobacteria	NRPS
14_0903_13_30cm_scaffold_360319_4	Acidobacteria_NRPS_0	Acidobacteria	NRPS
14_0903_13_30cm_scaffold_360319_5	Acidobacteria_NRPS_0	Acidobacteria	NRPS
14_0903_13_30cm_scaffold_360319_6	Acidobacteria_NRPS_0	Acidobacteria	NRPS
14_0903_13_30cm_scaffold_360319_7	Acidobacteria_NRPS_0	Acidobacteria	NRPS
14_0903_13_30cm_scaffold_360319_8	Acidobacteria_NRPS_0	Acidobacteria	NRPS
14_0903_13_30cm_scaffold_360319_9	Acidobacteria_NRPS_0	Acidobacteria	NRPS
