Protein	Genome
14_0903_12_30cm_scaffold_11105_7	14_0903_12_30cm_Bacteria_1047_68_7
14_1009_16_40cm_scaffold_41539_14	14_1009_16_40cm_Verrucomicrobia_10135_59_6
14_0927_12_40cm_scaffold_5323_21	14_0927_12_40cm_Bacteria_6525_71_6
14_1009_16_40cm_scaffold_376_62	14_1009_16_40cm_Bacteria_10077_69_12
14_0903_13_20cm_scaffold_2913_33	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0919_02_20cm_scaffold_577_28	14_0919_02_20cm_Rokubacteria_5893_69_7
14_0903_05_20cm_scaffold_3936_1	14_0903_05_20cm_Bacteria_395_69_9
14_1009_16_30cm_scaffold_64444_8	14_1009_16_30cm_Rokubacteria_9640_69_15
14_0903_13_30cm_scaffold_1710511_27	14_0903_13_30cm_Proteobacteria_5023_70_7
14_0903_05_20cm_scaffold_334_2	14_0903_05_20cm_Chloroflexi_387_50_7
14_0903_05_40cm_scaffold_371_19	14_0903_05_40cm_Rokubacteria_474_69_10
14_0929_05_30cm_scaffold_146_41	14_0929_05_30cm_Rokubacteria_3184_69_12
14_1009_16_40cm_scaffold_8729_10	14_1009_16_40cm_Bacteria_10086_63_7
14_0929_02_40cm_scaffold_507_30	14_0929_02_40cm_Bacteria_2798_72_12
14_0903_12_40cm_200_scaffold_2_16	14_0903_12_40cm_Bacteria_10609_55_11
14_1009_13_20cm_scaffold_18823_11	14_1009_13_20cm_Bacteria_8969_68_5
14_1009_13_30cm_scaffold_61_104	14_1009_13_30cm_Bacteria_9093_69_12
14_0919_02_20cm_scaffold_1153_26	14_0919_02_20cm_Bacteria_5904_68_7
14_0903_12_30cm_scaffold_1462_39	14_0903_12_30cm_Bacteria_1108_73_5
14_1009_09_40cm_scaffold_529_19	14_1009_09_40cm_Bacteria_8194_68_8
14_0927_12_20cm_scaffold_3057_12	14_0927_12_20cm_Verrucomicrobia_10548_59_7
14_0903_05_20cm_scaffold_2785_7	14_0903_05_20cm_Bacteria_395_69_9
14_0929_05_40cm_scaffold_2253_20	14_0929_05_40cm_Bacteria_3448_68_17
14_0903_12_30cm_scaffold_11105_4	14_0903_12_30cm_Bacteria_1047_68_7
14_0903_16_30cm_scaffold_1183_14	14_0903_16_30cm_Rokubacteria_5524_69_12
14_0903_05_30cm_scaffold_456_25	14_0903_05_30cm_Rokubacteria_4563_69_8
14_0903_05_30cm_scaffold_456_28	14_0903_05_30cm_Rokubacteria_4563_69_8
14_0919_02_20cm_scaffold_121_16	14_0919_02_20cm_Rokubacteria_5917_70_9
14_0929_02_40cm_scaffold_82_17	14_0929_02_40cm_Rokubacteria_2797_69_23
14_0919_02_20cm_scaffold_121_13	14_0919_02_20cm_Rokubacteria_5917_70_9
14_0929_02_40cm_scaffold_82_14	14_0929_02_40cm_Rokubacteria_2797_69_23
14_0929_02_30cm_scaffold_64_47	14_0929_02_30cm_Bacteria_2615_69_23
14_0903_12_30cm_scaffold_1009_15	14_0903_12_30cm_Bacteria_1120_68_12
14_0903_09_40cm_scaffold_1196_17	14_0903_09_40cm_Bacteria_746_68_10
14_0903_12_30cm_scaffold_1462_42	14_0903_12_30cm_Bacteria_1108_73_5
14_1009_12_20cm_scaffold_41777_3	14_1009_12_20cm_Ktedonobacter_racemifer_8433_52_7
14_0903_12_30cm_scaffold_665_8	14_0903_12_30cm_Bacteria_1056_68_10
14_0903_12_30cm_scaffold_2112_4	14_0903_12_30cm_Acidobacteria_1079_57_7
14_1009_16_40cm_scaffold_36747_12	14_1009_16_40cm_Bacteria_10157_53_6
14_0927_12_20cm_scaffold_2310_14	14_0927_12_20cm_Rokubacteria_6348_71_8
14_1009_16_40cm_scaffold_93651_3	14_1009_16_40cm_Rokubacteria_10140_71_15
14_1009_16_40cm_scaffold_20_130	14_1009_16_40cm_Bacteria_10100_69_10
14_0903_16_30cm_scaffold_1183_11	14_0903_16_30cm_Rokubacteria_5524_69_12
14_1009_16_30cm_scaffold_90_291	14_1009_16_30cm_Actinobacteria_9682_72_9
14_1009_16_40cm_scaffold_78812_16	14_1009_16_40cm_Bacteria_10151_57_6
14_1009_16_40cm_scaffold_109_41	14_1009_16_40cm_Bacteria_10175_68_8
14_1009_16_40cm_scaffold_24_27	14_1009_16_40cm_Bacteria_10076_68_15
14_1009_16_30cm_scaffold_24549_2	14_1009_16_30cm_Bacteria_9687_70_5
14_0927_12_40cm_scaffold_5323_16	14_0927_12_40cm_Bacteria_6525_71_6
14_1009_16_30cm_scaffold_54_120	14_1009_16_30cm_Bacteria_9624_68_15
14_1009_16_40cm_scaffold_5958_14	14_1009_16_40cm_Bacteria_10260_68_6
14_0927_05_40cm_scaffold_14989_2	14_0927_05_40cm_Rokubacteria_2323_69_8
14_1009_16_40cm_scaffold_376_59	14_1009_16_40cm_Bacteria_10077_69_12
14_1009_13_40cm_scaffold_176_79	14_1009_13_40cm_Rokubacteria_9336_68_7
14_1009_13_40cm_scaffold_176_82	14_1009_13_40cm_Rokubacteria_9336_68_7
14_1009_02_40cm_scaffold_390_55	14_1009_02_40cm_Chloroflexi_3845_53_8
14_0929_05_40cm_scaffold_61942_6	14_0929_05_40cm_Bacteria_3423_66_6
14_0919_12_20cm_scaffold_2089_7	14_0919_12_20cm_Ktedonobacter_racemifer_1829_53_9
14_0903_12_20cm_scaffold_6145_2	14_0903_12_20cm_Bacteria_889_69_22
14_0903_16_30cm_scaffold_3468_6	14_0903_16_30cm_Rokubacteria_5554_70_10
14_1009_16_40cm_scaffold_109_38	14_1009_16_40cm_Bacteria_10175_68_8
14_1009_09_30cm_scaffold_16084_3	14_1009_09_30cm_Ktedonobacter_racemifer_8023_53_6
14_0903_09_20cm_scaffold_0_74	14_0903_09_20cm_Proteobacteria_630_68_11
14_0903_05_40cm_scaffold_371_16	14_0903_05_40cm_Rokubacteria_474_69_10
14_0929_05_30cm_scaffold_146_38	14_0929_05_30cm_Rokubacteria_3184_69_12
14_0903_12_20cm_scaffold_346_12	14_0903_12_20cm_Ktedonobacter_racemifer_1020_54_11
14_0903_05_20cm_scaffold_349_18	14_0903_05_20cm_Chloroflexi_387_50_7
14_0929_05_20cm_scaffold_37930_4	14_0929_05_20cm_Ktedonobacter_racemifer_3036_53_7
14_1009_09_20cm_scaffold_6120_13	14_1009_09_20cm_Ktedonobacter_racemifer_7781_53_7
14_1009_12_20cm_scaffold_3985_5	14_1009_12_20cm_Ktedonobacter_racemifer_8422_52_9
14_0919_02_20cm_scaffold_1153_23	14_0919_02_20cm_Bacteria_5904_68_7
14_1009_13_20cm_scaffold_18823_8	14_1009_13_20cm_Bacteria_8969_68_5
14_1009_13_30cm_scaffold_61_107	14_1009_13_30cm_Bacteria_9093_69_12
14_0927_12_40cm_scaffold_4374_9	14_0927_12_40cm_Deltaproteobacteria_6551_70_9
14_0903_13_30cm_scaffold_7991952_3	14_0903_13_30cm_Acidobacteria_5024_67_6
14_0929_05_40cm_scaffold_2253_23	14_0929_05_40cm_Bacteria_3448_68_17
14_1009_16_40cm_scaffold_8203_21	14_1009_16_40cm_Acidobacteria_10259_65_9
14_0903_12_40cm_200_scaffold_121_28	14_0903_12_40cm_Bacteria_10609_55_11
14_1009_16_40cm_scaffold_5958_17	14_1009_16_40cm_Bacteria_10260_68_6
14_0903_12_30cm_scaffold_665_5	14_0903_12_30cm_Bacteria_1056_68_10
14_0929_02_40cm_scaffold_507_26	14_0929_02_40cm_Bacteria_2798_72_12
14_0903_13_30cm_scaffold_764725_76	14_0903_13_30cm_Proteobacteria_5023_70_7
14_0927_12_20cm_scaffold_2310_11	14_0927_12_20cm_Rokubacteria_6348_71_8
14_1009_16_40cm_scaffold_26697_2	14_1009_16_40cm_Rokubacteria_10140_71_15
14_0929_02_30cm_scaffold_64_44	14_0929_02_30cm_Bacteria_2615_69_23
14_1009_16_40cm_scaffold_24_30	14_1009_16_40cm_Bacteria_10076_68_15
14_1009_12_30cm_scaffold_1839_9	14_1009_12_30cm_Bacteria_8516_55_13
14_0929_02_40cm_scaffold_507_31	14_0929_02_40cm_Bacteria_2798_72_12
14_0903_16_30cm_scaffold_2073_8	14_0903_16_30cm_Verrucomicrobia_5531_55_9
14_1009_16_40cm_scaffold_292_128	14_1009_16_40cm_Bacteria_10176_71_10
14_0927_05_40cm_scaffold_14989_5	14_0927_05_40cm_Rokubacteria_2323_69_8
14_0903_09_40cm_scaffold_767_42	14_0903_09_40cm_Bacteria_746_68_10
14_0903_12_30cm_scaffold_1009_12	14_0903_12_30cm_Bacteria_1120_68_12
14_1009_16_40cm_scaffold_81247_1	14_1009_16_40cm_Bacteria_10157_53_6
14_0929_09_20cm_scaffold_53_26	14_0929_09_20cm_Bacteria_6721_56_10
14_1009_05_20cm_scaffold_378_25	14_1009_05_20cm_Bacteria_3993_59_9
14_0903_02_30cm_scaffold_2426_7	14_0903_02_30cm_Bacteria_171_59_8
14_0903_05_20cm_scaffold_21434_10	14_0903_05_20cm_Chloroflexi_387_50_7
14_0927_12_40cm_scaffold_5323_17	14_0927_12_40cm_Bacteria_6525_71_6
14_0903_05_40cm_scaffold_20175_3	14_0903_05_40cm_Bacteria_494_55_10
14_1009_13_40cm_scaffold_726_30	14_1009_13_40cm_Bacteria_9307_55_11
14_0929_05_20cm_scaffold_373_3	14_0929_05_20cm_Bacteria_2982_55_10
14_1009_05_20cm_scaffold_2856_11	14_1009_05_20cm_Bacteria_4028_55_8
14_0929_09_30cm_scaffold_6014_5	14_0929_09_30cm_Bacteria_6841_55_9
14_1009_16_30cm_scaffold_12971_7	14_1009_16_30cm_Bacteria_9687_70_5
14_1009_16_40cm_scaffold_9076_5	14_1009_16_40cm_Bacteria_10145_71_8
14_1009_09_40cm_scaffold_529_15	14_1009_09_40cm_Bacteria_8194_68_8
14_1009_05_30cm_scaffold_7650_13	14_1009_05_30cm_Bacteria_4203_54_7
14_0919_02_20cm_scaffold_577_31	14_0919_02_20cm_Rokubacteria_5893_69_7
14_1009_16_20cm_scaffold_3769_18	14_1009_16_20cm_Rokubacteria_9470_69_6
14_0929_09_40cm_scaffold_3152_2	14_0929_09_40cm_Bacteria_7012_55_6
14_1009_13_20cm_scaffold_1308_2	14_1009_13_20cm_Bacteria_8964_55_8
14_1009_13_20cm_scaffold_4186_13	14_1009_13_20cm_Bacteria_8932_54_8
14_0929_05_40cm_scaffold_29089_3	14_0929_05_40cm_Bacteria_3425_55_9
14_0903_13_30cm_scaffold_7991952_2	14_0903_13_30cm_Acidobacteria_5024_67_6
14_0919_02_20cm_scaffold_5112_4	14_0919_02_20cm_Bacteria_5930_55_12
14_0929_05_20cm_scaffold_959_11	14_0929_05_20cm_Bacteria_2986_55_7
14_1009_16_40cm_scaffold_99056_9	14_1009_16_40cm_Bacteria_10157_53_6
14_1009_13_40cm_scaffold_9988_5	14_1009_13_40cm_Bacteria_9335_55_11
14_0903_16_30cm_scaffold_363_23	14_0903_16_30cm_Bacteria_5561_55_9
14_0927_02_40cm_scaffold_5273_4	14_0927_02_40cm_Bacteria_2065_55_7
14_0929_02_30cm_scaffold_820_7	14_0929_02_30cm_Bacteria_2622_55_9
14_0929_12_40cm_scaffold_334_15	14_0929_12_40cm_Bacteria_7540_55_11
14_0929_09_30cm_scaffold_5600_7	14_0929_09_30cm_Bacteria_6869_55_12
14_0927_12_40cm_scaffold_2942_9	14_0927_12_40cm_Bacteria_6538_55_7
14_0927_02_40cm_scaffold_6044_2	14_0927_02_40cm_Bacteria_2092_55_12
14_0903_05_40cm_scaffold_1040_12	14_0903_05_40cm_Bacteria_483_55_9
14_0903_02_40cm_scaffold_1076_7	14_0903_02_40cm_Bacteria_9_54_9
14_0919_09_20cm_scaffold_482_4	14_0919_09_20cm_Bacteria_1653_55_12
14_1009_09_20cm_scaffold_8245_6	14_1009_09_20cm_Bacteria_7766_55_12
14_0929_05_30cm_scaffold_11787_10	14_0929_05_30cm_Bacteria_3237_55_16
14_1009_16_40cm_scaffold_20_127	14_1009_16_40cm_Bacteria_10100_69_10
14_0903_13_30cm_scaffold_293256_5	14_0903_13_30cm_Bacteria_4832_68_9
14_1009_05_20cm_scaffold_6005_5	14_1009_05_20cm_Acidobacteria_3994_54_6
14_0903_13_20cm_scaffold_49219_5	14_0903_13_20cm_Bacteria_10557_55_8
14_0903_02_20cm_scaffold_2255_7	14_0903_02_20cm_Bacteria_99_55_12
14_0903_12_30cm_scaffold_32619_6	14_0903_12_30cm_Betaproteobacteria_1059_67_7
14_0919_05_20cm_scaffold_3437_16	14_0919_05_20cm_Bacteria_1558_55_10
14_1009_16_30cm_scaffold_9748_2	14_1009_16_30cm_Bacteria_9830_55_17
14_1009_13_20cm_scaffold_2129_17	14_1009_13_20cm_Bacteria_8945_55_10
14_1009_16_30cm_scaffold_54_117	14_1009_16_30cm_Bacteria_9624_68_15
14_0903_02_30cm_scaffold_4158_8	14_0903_02_30cm_Bacteria_177_54_8
14_0919_09_20cm_scaffold_577_15	14_0919_09_20cm_Bacteria_1671_55_7
14_1009_16_20cm_scaffold_3769_21	14_1009_16_20cm_Rokubacteria_9470_69_6
14_0927_09_20cm_scaffold_1074_2	14_0927_09_20cm_Bacteria_6036_55_7
14_1009_05_20cm_scaffold_24508_2	14_1009_05_20cm_Bacteria_4049_55_11
14_0929_09_40cm_scaffold_3674_5	14_0929_09_40cm_Bacteria_7002_54_13
14_0903_13_30cm_scaffold_2855983_20	14_0903_13_30cm_Bacteria_5132_55_21
14_0903_13_30cm_scaffold_833195_10	14_0903_13_30cm_Bacteria_4968_56_13
14_1009_16_20cm_scaffold_24789_3	14_1009_16_20cm_Bacteria_9503_55_8
14_0903_13_40cm_scaffold_8247_3	14_0903_13_40cm_Verrucomicrobia_1369_56_11
14_1009_12_40cm_scaffold_10771_10	14_1009_12_40cm_Bacteria_8719_56_8
14_1009_13_30cm_scaffold_500_54	14_1009_13_30cm_Bacteria_9095_55_10
14_0903_12_20cm_scaffold_8858_6	14_0903_12_20cm_Bacteria_908_55_11
14_0903_02_20cm_scaffold_2255_8	14_0903_02_20cm_Bacteria_99_55_12
14_0903_13_30cm_scaffold_2694785_3	14_0903_13_30cm_Bacteria_4903_55_12
14_1009_12_40cm_scaffold_5693_37	14_1009_12_40cm_Bacteria_8731_55_7
14_0903_12_30cm_scaffold_96_129	14_0903_12_30cm_Bacteria_1060_56_9
14_0927_12_20cm_scaffold_820_3	14_0927_12_20cm_Bacteria_6349_56_8
14_0927_12_40cm_scaffold_3667_15	14_0927_12_40cm_Bacteria_6572_56_7
14_0929_12_30cm_scaffold_2640_9	14_0929_12_30cm_Bacteria_7476_55_10
14_0903_13_30cm_scaffold_4142748_1	14_0903_13_30cm_Bacteria_4982_55_14
14_1009_16_30cm_scaffold_572_36	14_1009_16_30cm_Bacteria_9859_55_10
14_0927_12_20cm_scaffold_30371_10	14_0927_12_20cm_Bacteria_6362_55_16
14_1009_12_20cm_scaffold_2681_3	14_1009_12_20cm_Bacteria_8391_55_8
14_0929_05_40cm_scaffold_11738_20	14_0929_05_40cm_Bacteria_3445_55_9
14_0929_09_40cm_scaffold_4325_20	14_0929_09_40cm_Bacteria_7016_55_11
14_1009_12_40cm_scaffold_4142_20	14_1009_12_40cm_Bacteria_8693_55_9
14_0903_13_40cm_scaffold_3367_6	14_0903_13_40cm_Bacteria_1363_54_7
14_1009_16_20cm_scaffold_6121_14	14_1009_16_20cm_Bacteria_9490_55_8
14_0903_12_20cm_scaffold_2608_11	14_0903_12_20cm_Bacteria_924_55_9
14_1009_09_30cm_scaffold_277_5	14_1009_09_30cm_Bacteria_7988_56_8
14_0927_02_40cm_scaffold_6044_3	14_0927_02_40cm_Bacteria_2092_55_12
14_1009_13_20cm_scaffold_54398_2	14_1009_13_20cm_Bacteria_8955_54_8
14_0903_02_30cm_scaffold_4158_7	14_0903_02_30cm_Bacteria_177_54_8
14_0929_02_40cm_scaffold_445_6	14_0929_02_40cm_Bacteria_2832_56_9
14_1009_13_20cm_scaffold_2129_18	14_1009_13_20cm_Bacteria_8945_55_10
14_0903_16_40cm_scaffold_37615_3	14_0903_16_40cm_Bacteria_5699_54_17
14_0919_05_20cm_scaffold_3437_17	14_0919_05_20cm_Bacteria_1558_55_10
14_0929_05_20cm_scaffold_12424_4	14_0929_05_20cm_Bacteria_2980_55_9
14_0903_02_40cm_scaffold_1076_8	14_0903_02_40cm_Bacteria_9_54_9
14_1009_16_20cm_scaffold_4156_3	14_1009_16_20cm_Bacteria_9489_55_9
14_1009_09_30cm_scaffold_4717_5	14_1009_09_30cm_Verrucomicrobia_7983_55_7
14_1009_16_30cm_scaffold_359_103	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0903_16_30cm_scaffold_1170_25	14_0903_16_30cm_Bacteria_5547_55_9
14_0929_12_40cm_scaffold_867_15	14_0929_12_40cm_Bacteria_7538_55_12
14_1009_09_40cm_scaffold_4631_13	14_1009_09_40cm_Bacteria_8204_55_10
14_0929_05_40cm_scaffold_11738_21	14_0929_05_40cm_Bacteria_3445_55_9
14_1009_16_30cm_scaffold_359_94	14_1009_16_30cm_Actinobacteria_9682_72_9
14_0919_12_20cm_scaffold_82952_2	14_0919_12_20cm_Bacteria_1773_55_7
14_1009_16_30cm_scaffold_9748_1	14_1009_16_30cm_Bacteria_9830_55_17
14_0903_13_30cm_scaffold_2694785_2	14_0903_13_30cm_Bacteria_4903_55_12
14_1009_16_30cm_scaffold_60950_6	14_1009_16_30cm_Bacteria_9914_55_12
14_1009_16_40cm_scaffold_218954_3	14_1009_16_40cm_Bacteria_10388_55_12
14_0927_12_20cm_scaffold_1309_20	14_0927_12_20cm_Bacteria_6356_55_8
14_1009_16_30cm_scaffold_572_35	14_1009_16_30cm_Bacteria_9859_55_10
14_0903_13_20cm_scaffold_2739_8	14_0903_13_20cm_Proteobacteria_1234_70_6
14_0903_13_30cm_scaffold_5818186_5	14_0903_13_30cm_Proteobacteria_5023_70_7
14_1009_02_40cm_scaffold_28191_3	14_1009_02_40cm_Bacteria_3867_55_7
14_0903_02_20cm_scaffold_6705_6	14_0903_02_20cm_Bacteria_88_55_7
14_0919_02_20cm_scaffold_5112_3	14_0919_02_20cm_Bacteria_5930_55_12
14_1009_09_30cm_scaffold_4717_4	14_1009_09_30cm_Verrucomicrobia_7983_55_7
14_0903_05_30cm_scaffold_31805_2	14_0903_05_30cm_Bacteria_4617_55_7
14_0903_13_30cm_scaffold_2082724_20	14_0903_13_30cm_Bacteria_5203_56_6
14_1009_12_40cm_scaffold_4142_21	14_1009_12_40cm_Bacteria_8693_55_9
14_1009_02_30cm_scaffold_11850_2	14_1009_02_30cm_Bacteria_3696_55_11
14_0927_12_40cm_scaffold_12036_9	14_0927_12_40cm_Bacteria_6525_71_6
14_0903_13_40cm_scaffold_3367_5	14_0903_13_40cm_Bacteria_1363_54_7
14_0929_09_40cm_scaffold_4325_21	14_0929_09_40cm_Bacteria_7016_55_11
14_0929_12_30cm_scaffold_2640_8	14_0929_12_30cm_Bacteria_7476_55_10
14_0903_13_30cm_scaffold_2855983_21	14_0903_13_30cm_Bacteria_5132_55_21
14_1009_13_30cm_scaffold_500_53	14_1009_13_30cm_Bacteria_9095_55_10
14_0903_12_20cm_scaffold_692_42	14_0903_12_20cm_Bacteria_913_55_8
14_0927_12_40cm_scaffold_5323_22	14_0927_12_40cm_Bacteria_6525_71_6
14_1009_16_40cm_scaffold_6562_15	14_1009_16_40cm_Bacteria_10153_70_20
14_1009_12_20cm_scaffold_2681_2	14_1009_12_20cm_Bacteria_8391_55_8
14_0903_12_20cm_scaffold_2608_10	14_0903_12_20cm_Bacteria_924_55_9
14_0903_02_30cm_scaffold_17537_5	14_0903_02_30cm_Betaproteobacteria_208_64_9
14_1009_05_30cm_scaffold_25898_2	14_1009_05_30cm_Bacteria_4253_54_7
14_0903_05_40cm_scaffold_1452_55	14_0903_05_40cm_Rokubacteria_474_69_10
14_0927_09_40cm_scaffold_2597_20	14_0927_09_40cm_Verrucomicrobia_6186_55_17
14_0929_09_40cm_scaffold_2590_10	14_0929_09_40cm_Bacteria_7027_56_14
14_1009_09_30cm_scaffold_9062_9	14_1009_09_30cm_Betaproteobacteria_7996_64_8
14_0927_02_40cm_scaffold_5273_3	14_0927_02_40cm_Bacteria_2065_55_7
14_0929_02_30cm_scaffold_820_6	14_0929_02_30cm_Bacteria_2622_55_9
14_0929_12_40cm_scaffold_334_14	14_0929_12_40cm_Bacteria_7540_55_11
14_0903_16_30cm_scaffold_363_24	14_0903_16_30cm_Bacteria_5561_55_9
14_0929_12_20cm_scaffold_66_23	14_0929_12_20cm_Proteobacteria_7163_67_18
14_0903_09_40cm_scaffold_2730_4	14_0903_09_40cm_Proteobacteria_761_67_12
14_1009_13_30cm_scaffold_2683_16	14_1009_13_30cm_Bacteria_9099_55_14
14_0903_02_20cm_scaffold_38_23	14_0903_02_20cm_Proteobacteria_56_68_14
14_0929_02_30cm_scaffold_5195_23	14_0929_02_30cm_Proteobacteria_2624_68_6
14_0929_09_40cm_scaffold_12074_11	14_0929_09_40cm_Bacteria_7012_55_6
14_0929_12_30cm_scaffold_13175_6	14_0929_12_30cm_Proteobacteria_7433_68_7
14_1009_12_30cm_scaffold_2771_15	14_1009_12_30cm_Proteobacteria_8501_67_8
14_0903_05_40cm_scaffold_20769_3	14_0903_05_40cm_Betaproteobacteria_516_64_10
14_0903_13_30cm_scaffold_9936130_1	14_0903_13_30cm_Gemmatimonadetes_4837_61_12
14_1009_13_40cm_scaffold_48680_2	14_1009_13_40cm_Proteobacteria_9304_69_11
14_0927_12_20cm_scaffold_61902_3	14_0927_12_20cm_Proteobacteria_6345_65_7
14_0929_05_30cm_scaffold_25152_2	14_0929_05_30cm_Proteobacteria_3188_68_7
14_1009_16_20cm_scaffold_25567_7	14_1009_16_20cm_Ktedonobacter_racemifer_9518_53_6
14_0903_16_30cm_scaffold_1170_26	14_0903_16_30cm_Bacteria_5547_55_9
14_0929_12_40cm_scaffold_867_16	14_0929_12_40cm_Bacteria_7538_55_12
14_0929_12_40cm_scaffold_2750_15	14_0929_12_40cm_Betaproteobacteria_7558_64_8
14_0903_02_20cm_scaffold_289_23	14_0903_02_20cm_Proteobacteria_54_67_14
14_0919_02_20cm_scaffold_523_22	14_0919_02_20cm_Proteobacteria_5895_67_15
14_1009_02_20cm_scaffold_7416_2	14_1009_02_20cm_Proteobacteria_3629_68_7
14_1009_13_30cm_scaffold_31657_5	14_1009_13_30cm_Bacteria_9112_55_7
14_0903_16_40cm_scaffold_11069_4	14_0903_16_40cm_Proteobacteria_5707_69_7
14_0903_02_30cm_scaffold_10403_6	14_0903_02_30cm_Bacteria_250_54_7
14_0919_02_20cm_scaffold_26_38	14_0919_02_20cm_Betaproteobacteria_5881_65_14
14_0929_02_20cm_scaffold_4456_11	14_0929_02_20cm_Betaproteobacteria_2465_65_10
14_0903_16_40cm_scaffold_4252_10	14_0903_16_40cm_Bacteria_5729_55_13
14_1009_09_40cm_scaffold_4631_12	14_1009_09_40cm_Bacteria_8204_55_10
14_0903_12_20cm_scaffold_1922_4	14_0903_12_20cm_Proteobacteria_893_68_25
14_1009_12_20cm_scaffold_133_16	14_1009_12_20cm_Proteobacteria_8340_68_17
14_0903_09_20cm_scaffold_22_17	14_0903_09_20cm_Proteobacteria_630_68_11
14_0929_12_40cm_scaffold_40760_2	14_0929_12_40cm_Proteobacteria_7534_69_6
14_0903_12_30cm_scaffold_2112_3	14_0903_12_30cm_Acidobacteria_1079_57_7
14_0903_16_20cm_scaffold_628_7	14_0903_16_20cm_Proteobacteria_5401_68_9
14_0927_12_40cm_scaffold_17592_9	14_0927_12_40cm_Proteobacteria_6516_68_7
14_1009_16_40cm_scaffold_77367_2	14_1009_16_40cm_Betaproteobacteria_10094_64_30
14_0903_16_40cm_scaffold_37615_2	14_0903_16_40cm_Bacteria_5699_54_17
14_0929_12_20cm_scaffold_23040_4	14_0929_12_20cm_Proteobacteria_7190_65_6
14_0929_05_40cm_scaffold_49197_4	14_0929_05_40cm_Betaproteobacteria_3492_64_9
14_1009_09_30cm_scaffold_277_6	14_1009_09_30cm_Bacteria_7988_56_8
14_0903_13_30cm_scaffold_833195_11	14_0903_13_30cm_Bacteria_4968_56_13
14_1009_12_40cm_scaffold_16214_3	14_1009_12_40cm_Proteobacteria_8680_68_6
14_0903_12_30cm_scaffold_1117_15	14_0903_12_30cm_Proteobacteria_1046_69_21
14_1009_13_30cm_scaffold_3680_4	14_1009_13_30cm_Proteobacteria_9082_68_9
14_0929_09_30cm_scaffold_1287_17	14_0929_09_30cm_Proteobacteria_6836_67_22
14_1009_02_30cm_scaffold_376_8	14_1009_02_30cm_Bacteria_3721_54_15
14_1009_05_20cm_scaffold_825_23	14_1009_05_20cm_Bacteria_3987_54_20
14_0903_09_40cm_scaffold_26445_2	14_0903_09_40cm_Proteobacteria_757_70_20
14_0903_09_30cm_scaffold_618_20	14_0903_09_30cm_Proteobacteria_684_68_8
14_1009_02_30cm_scaffold_376_9	14_1009_02_30cm_Bacteria_3721_54_15
14_1009_05_20cm_scaffold_825_22	14_1009_05_20cm_Bacteria_3987_54_20
14_0903_13_30cm_scaffold_764725_74	14_0903_13_30cm_Proteobacteria_5023_70_7
14_0903_16_20cm_scaffold_72_32	14_0903_16_20cm_Proteobacteria_5405_67_12
14_0927_05_20cm_scaffold_1084_18	14_0927_05_20cm_Proteobacteria_2236_67_15
14_1009_02_30cm_scaffold_23393_7	14_1009_02_30cm_Bacteria_3696_55_11
14_1009_16_20cm_scaffold_6121_13	14_1009_16_20cm_Bacteria_9490_55_8
14_0929_09_40cm_scaffold_3674_6	14_0929_09_40cm_Bacteria_7002_54_13
14_1009_13_20cm_scaffold_681_23	14_1009_13_20cm_Proteobacteria_8922_67_8
14_0927_12_20cm_scaffold_1309_21	14_0927_12_20cm_Bacteria_6356_55_8
14_0929_05_30cm_scaffold_11787_11	14_0929_05_30cm_Bacteria_3237_55_16
14_1009_13_20cm_scaffold_4186_14	14_1009_13_20cm_Bacteria_8932_54_8
14_1009_02_40cm_scaffold_28191_2	14_1009_02_40cm_Bacteria_3867_55_7
14_0903_12_30cm_scaffold_408_15	14_0903_12_30cm_Betaproteobacteria_1076_65_10
14_0929_12_40cm_scaffold_517_33	14_0929_12_40cm_Betaproteobacteria_7526_65_14
14_0903_16_40cm_scaffold_21662_2	14_0903_16_40cm_Rokubacteria_5695_68_10
14_1009_16_30cm_scaffold_22923_12	14_1009_16_30cm_Proteobacteria_9607_69_18
14_0927_12_40cm_scaffold_2942_10	14_0927_12_40cm_Bacteria_6538_55_7
14_1009_16_40cm_scaffold_218954_2	14_1009_16_40cm_Bacteria_10388_55_12
14_0903_05_40cm_scaffold_1040_13	14_0903_05_40cm_Bacteria_483_55_9
14_0903_13_30cm_scaffold_4142748_2	14_0903_13_30cm_Bacteria_4982_55_14
14_1009_16_30cm_scaffold_17131_10	14_1009_16_30cm_Burkholderiales_9712_66_6
14_0903_13_30cm_scaffold_3627550_18	14_0903_13_30cm_Burkholderiales_4888_66_12
14_1009_12_40cm_scaffold_10771_11	14_1009_12_40cm_Bacteria_8719_56_8
14_0929_05_20cm_scaffold_12424_3	14_0929_05_20cm_Bacteria_2980_55_9
14_1009_16_20cm_scaffold_24789_2	14_1009_16_20cm_Bacteria_9503_55_8
14_0903_02_20cm_scaffold_6705_8	14_0903_02_20cm_Bacteria_88_55_7
14_1009_05_30cm_scaffold_7650_12	14_1009_05_30cm_Bacteria_4203_54_7
14_0903_13_40cm_scaffold_8247_2	14_0903_13_40cm_Verrucomicrobia_1369_56_11
14_1009_16_20cm_scaffold_4156_2	14_1009_16_20cm_Bacteria_9489_55_9
14_1009_05_20cm_scaffold_6005_6	14_1009_05_20cm_Acidobacteria_3994_54_6
